game_id,quarter,score,team_name
331006013,3,7,Raiders
331006013,4,3,Raiders
331006013,1,0,Chargers
331006013,2,0,Chargers
331006013,3,3,Chargers
331006013,4,14,Chargers
331007001,1,0,Falcons
331007001,2,7,Falcons
331007001,3,7,Falcons
331007001,4,14,Falcons
331007001,1,3,Jets
331007001,2,14,Jets
331007001,3,3,Jets
331007001,4,10,Jets
331010003,1,7,Bears
331010003,2,17,Bears
331010003,3,3,Bears
331010003,4,0,Bears
331010003,1,7,Giants
331010003,2,7,Giants
331010003,3,7,Giants
331010003,4,0,Giants
331013002,1,7,Bills
331013002,2,3,Bills
331013002,3,0,Bills
331013002,4,14,Bills
331013002,5,0,Bills
331013002,1,10,Bengals
331013002,2,7,Bengals
331013002,3,7,Bengals
331013002,4,0,Bengals
331013002,5,3,Bengals
331013005,1,0,Browns
331013005,2,17,Browns
331013005,3,0,Browns
331013005,4,0,Browns
331013005,1,7,Lions
331013005,2,0,Lions
331013005,3,7,Lions
331013005,4,17,Lions
331013012,1,0,Chiefs
331013012,2,7,Chiefs
331013012,3,7,Chiefs
331013012,4,10,Chiefs
331013012,1,0,Raiders
331013012,2,7,Raiders
331013012,3,0,Raiders
331013012,4,0,Raiders
331013016,1,0,Vikings
331013016,2,3,Vikings
331013016,3,0,Vikings
331013016,4,7,Vikings
331013016,1,7,Panthers
331013016,2,7,Panthers
331013016,3,14,Panthers
331013016,4,7,Panthers
331013020,1,3,Jets
331013020,2,3,Jets
331013020,3,0,Jets
331013020,4,0,Jets
331013020,1,0,Steelers
331013020,2,9,Steelers
331013020,3,7,Steelers
331013020,4,3,Steelers
331013027,1,3,Buccaneers
331013027,2,14,Buccaneers
331013027,3,0,Buccaneers
331013027,4,3,Buccaneers
331013027,1,7,Eagles
331013027,2,7,Eagles
331013027,3,7,Eagles
331013027,4,10,Eagles
331013033,1,0,Ravens
331013033,2,0,Ravens
331013033,3,3,Ravens
331013033,4,14,Ravens
331013033,1,3,Packers
331013033,2,3,Packers
331013033,3,10,Packers
331013033,4,3,Packers
331013034,1,0,Texans
331013034,2,6,Texans
331013034,3,0,Texans
331013034,4,7,Texans
331013034,1,7,Rams
331013034,2,10,Rams
331013034,3,21,Rams
331013034,4,0,Rams
331013007,1,14,Broncos
331013007,2,0,Broncos
331013007,3,14,Broncos
331013007,4,7,Broncos
331013007,1,0,Jaguars
331013007,2,12,Jaguars
331013007,3,7,Jaguars
331013007,4,0,Jaguars
331013026,1,0,Seahawks
331013026,2,7,Seahawks
331013026,3,3,Seahawks
331013026,4,10,Seahawks
331013026,1,3,Titans
331013026,2,7,Titans
331013026,3,0,Titans
331013026,4,3,Titans
331013017,1,3,Patriots
331013017,2,14,Patriots
331013017,3,3,Patriots
331013017,4,10,Patriots
331013017,1,7,Saints
331013017,2,0,Saints
331013017,3,10,Saints
331013017,4,10,Saints
331013025,1,6,49ers
331013025,2,16,49ers
331013025,3,0,49ers
331013025,4,10,49ers
331013025,1,7,Cardinals
331013025,2,7,Cardinals
331013025,3,6,Cardinals
331013025,4,0,Cardinals
331013006,1,7,Cowboys
331013006,2,7,Cowboys
331013006,3,7,Cowboys
331013006,4,10,Cowboys
331013006,1,3,Commanders
331013006,2,3,Commanders
331013006,3,10,Commanders
331013006,4,0,Commanders
331014024,1,0,Chargers
331014024,2,10,Chargers
331014024,3,3,Chargers
331014024,4,6,Chargers
331014024,1,3,Colts
331014024,2,3,Colts
331014024,3,0,Colts
331014024,4,3,Colts
331017022,1,0,Cardinals
331017022,2,10,Cardinals
331017022,3,3,Cardinals
331017022,4,9,Cardinals
331017022,1,7,Seahawks
331017022,2,10,Seahawks
331017022,3,14,Seahawks
331017022,4,3,Seahawks
331020001,1,7,Falcons
331020001,2,17,Falcons
331020001,3,0,Falcons
331020001,4,7,Falcons
331020001,1,0,Buccaneers
331020001,2,10,Buccaneers
331020001,3,7,Buccaneers
331020001,4,6,Buccaneers
331020008,1,7,Lions
331020008,2,3,Lions
331020008,3,7,Lions
331020008,4,7,Lions
331020008,1,7,Bengals
331020008,2,7,Bengals
331020008,3,10,Bengals
331020008,4,3,Bengals
331020015,1,0,Dolphins
331020015,2,14,Dolphins
331020015,3,7,Dolphins
331020015,4,0,Dolphins
331020015,1,14,Bills
331020015,2,3,Bills
331020015,3,0,Bills
331020015,4,6,Bills
331020020,1,7,Jets
331020020,2,3,Jets
331020020,3,17,Jets
331020020,4,0,Jets
331020020,5,3,Jets
331020020,1,14,Patriots
331020020,2,7,Patriots
331020020,3,0,Patriots
331020020,4,6,Patriots
331020020,5,0,Patriots
331020021,1,0,Eagles
331020021,2,0,Eagles
331020021,3,0,Eagles
331020021,4,3,Eagles
331020021,1,0,Cowboys
331020021,2,3,Cowboys
331020021,3,7,Cowboys
331020021,4,7,Cowboys
331020028,1,3,Commanders
331020028,2,21,Commanders
331020028,3,7,Commanders
331020028,4,14,Commanders
331020028,1,10,Bears
331020028,2,7,Bears
331020028,3,7,Bears
331020028,4,17,Bears
331020029,1,7,Panthers
331020029,2,10,Panthers
331020029,3,10,Panthers
331020029,4,3,Panthers
331020029,1,2,Rams
331020029,2,3,Rams
331020029,3,7,Rams
331020029,4,3,Rams
331020030,1,0,Jaguars
331020030,2,3,Jaguars
331020030,3,3,Jaguars
331020030,4,0,Jaguars
331020030,1,7,Chargers
331020030,2,7,Chargers
331020030,3,3,Chargers
331020030,4,7,Chargers
331020010,1,0,Titans
331020010,2,0,Titans
331020010,3,0,Titans
331020010,4,17,Titans
331020010,1,3,49ers
331020010,2,14,49ers
331020010,3,7,49ers
331020010,4,7,49ers
331020009,1,14,Packers
331020009,2,3,Packers
331020009,3,0,Packers
331020009,4,14,Packers
331020009,1,0,Browns
331020009,2,3,Browns
331020009,3,3,Browns
331020009,4,7,Browns
331020012,1,7,Chiefs
331020012,2,7,Chiefs
331020012,3,3,Chiefs
331020012,4,0,Chiefs
331020012,1,3,Texans
331020012,2,7,Texans
331020012,3,6,Texans
331020012,4,0,Texans
